"Município";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Total"
"240810 Natal";16748;17379;15641;15703;16395;16767;15731;13818;13286;14100;13424;13718;12606;11771;12446;12117;11548;12199;12211;11840;11862;291310
"240800 Mossoró";7;5185;4666;4472;4345;4389;3817;4133;4174;4039;3915;3936;3706;4117;3984;3997;3906;3928;3819;3975;3954;82464
"240325 Parnamirim";2203;1564;1984;1851;2476;2851;2829;2752;2904;2644;2802;2994;3321;3116;3381;3634;3588;3418;3706;3912;4025;61955
"241200 São Gonçalo do Amarante";1175;1127;1301;1354;1189;1543;1390;1455;1400;1486;1469;1446;1376;1914;1883;1652;1685;1690;1690;1768;1860;31853
"240260 Ceará-Mirim";287;1523;1436;1326;1345;1547;1557;1450;1302;1136;1114;1459;1400;1198;1334;1210;1151;1222;1101;1197;1282;26577
"240710 Macaíba";1423;1285;1201;1114;1253;1397;1251;1131;1043;1093;1008;970;953;818;964;920;953;853;829;907;893;22259
"240200 Caicó";5;1197;1421;1290;1374;1248;1175;1107;968;941;879;907;848;856;829;771;743;788;782;731;713;19573
"240020 Açu";6;1113;1151;1083;1042;1092;1056;993;1026;848;828;859;888;828;808;753;805;826;789;705;835;18334
"241220 São José de Mipibu";865;777;563;717;834;921;891;732;732;857;706;748;685;640;735;665;673;769;680;709;666;15565
"240310 Currais Novos";2;965;968;1044;932;957;767;788;688;657;647;610;631;637;593;619;571;587;548;545;536;14292
"241120 Santa Cruz";11;803;845;807;867;725;662;745;648;606;608;619;560;560;594;583;600;578;584;586;627;13218
"240830 Nova Cruz";722;734;745;720;660;620;724;662;671;656;564;614;681;574;620;595;583;581;494;479;478;13177
"240220 Canguaretama";705;705;717;475;370;666;796;608;568;648;660;642;573;561;569;546;617;650;579;539;532;12726
"240580 João Câmara";83;596;600;672;703;606;685;594;607;646;613;613;612;552;610;568;556;567;491;493;529;11996
"241440 Touros";87;692;743;640;625;617;670;615;550;614;566;557;518;512;545;484;425;424;405;490;504;11283
"240100 Apodi";1;712;612;645;627;646;467;522;496;504;520;523;484;587;527;474;412;437;412;446;413;10467
"240420 Goianinha";553;538;433;493;516;531;549;467;482;465;493;459;444;432;482;474;439;552;493;533;462;10290
"241150 Santo Antônio";505;563;587;528;542;426;496;454;451;470;346;480;299;395;385;407;388;368;329;330;332;9081
"241250 São Miguel";-;617;657;541;518;473;503;438;415;429;439;496;409;411;451;460;378;369;386;272;321;8983
"240145 Baraúna";-;456;430;444;474;462;392;410;474;477;503;444;477;487;476;449;433;359;401;378;409;8835
"240360 Extremoz";483;436;510;496;414;411;494;437;384;315;344;298;344;344;368;422;434;445;376;518;544;8817
"240940 Pau dos Ferros";5;246;492;544;380;474;507;464;414;407;327;383;407;364;457;436;484;458;384;389;410;8432
"240110 Areia Branca";1;482;461;494;438;467;343;389;405;416;430;432;406;397;381;375;396;311;366;351;355;8096
"240720 Macau";7;565;527;542;501;329;502;452;443;346;484;431;264;202;263;203;386;205;255;176;459;7542
"240890 Parelhas";1;420;406;456;424;419;398;354;345;312;315;349;357;334;339;344;328;299;347;325;323;7195
"240820 Nísia Floresta";376;399;331;326;304;380;353;332;286;325;322;300;234;244;333;316;335;341;357;349;380;6923
"240230 Caraúbas";-;521;442;387;363;395;374;390;374;316;328;350;309;303;271;346;250;327;284;253;299;6882
"240780 Monte Alegre";323;346;255;336;271;289;307;285;299;295;244;308;191;237;300;281;266;300;266;300;297;5996
"240610 Jucurutu";-;368;291;321;351;331;292;304;303;285;284;258;252;238;272;253;264;269;246;253;212;5647
"240650 Lagoa Nova";1;331;303;335;298;282;247;275;305;316;276;269;256;244;226;254;259;259;209;204;248;5397
"240120 Arês";329;313;319;476;362;266;268;210;252;206;197;203;225;176;221;247;204;196;236;200;161;5267
"240980 Pedro Velho";282;285;263;250;196;266;340;270;279;241;267;230;231;188;248;227;211;220;227;234;175;5130
"240470 Ipanguaçu";1;317;274;251;276;239;267;233;243;248;291;270;247;242;255;190;240;242;209;237;214;4986
"241260 São Paulo do Potengi";34;382;339;258;243;272;242;222;251;237;240;257;153;256;256;274;226;185;192;217;232;4968
"241400 Tangará";15;277;340;254;271;216;177;246;275;255;260;261;232;254;233;246;234;210;228;228;238;4950
"241010 Poço Branco";41;215;219;247;262;273;260;254;279;267;184;219;194;183;188;189;170;185;217;146;181;4373
"240050 Alexandria";-;295;275;262;268;245;272;245;247;200;218;229;95;219;219;183;191;174;164;183;181;4365
"241230 São José do Campestre";73;324;291;258;216;246;260;245;237;204;188;180;152;150;173;184;188;193;176;155;169;4262
"240930 Patu";1;266;242;252;243;237;255;227;201;243;252;200;176;205;193;160;167;159;130;182;140;4131
"240770 Montanhas";244;260;250;226;275;236;234;197;221;183;148;142;174;178;163;191;169;189;131;158;142;4111
"240450 Guamaré";2;144;175;133;156;115;190;200;197;143;228;286;214;223;206;201;291;243;229;200;268;4044
"241390 Taipu";23;234;253;226;238;232;211;211;231;198;183;179;152;152;158;177;197;200;149;179;173;3956
"240430 Governador Dix-Sept Rosado";-;275;242;231;187;197;154;198;215;208;201;209;215;177;183;200;165;170;191;162;168;3948
"240180 Brejinho";213;201;164;207;135;189;235;250;260;228;198;111;159;190;201;179;160;164;174;150;177;3945
"241335 Serra do Mel";1;152;156;161;183;171;192;217;179;179;203;220;170;202;223;223;193;218;194;213;214;3864
"240080 Angicos";2;303;250;160;212;201;175;212;221;229;211;206;195;165;189;165;141;154;155;139;142;3827
"241140 Santana do Matos";2;331;275;253;233;216;171;183;185;172;170;189;176;171;162;150;148;171;151;147;133;3789
"240560 Jardim de Piranhas";1;231;146;191;208;201;157;206;199;190;176;216;178;180;199;182;178;190;164;167;166;3726
"240700 Luís Gomes";2;255;220;200;191;165;179;153;159;190;197;184;211;198;170;176;173;195;159;134;161;3672
"241480 Vera Cruz";254;235;213;189;185;92;201;201;181;204;170;176;76;106;180;173;161;167;153;165;166;3648
"241460 Upanema";-;119;116;186;176;186;158;204;170;189;189;185;182;201;184;198;203;201;196;194;185;3622
"240270 Cerro Corá";1;254;217;214;183;168;188;194;178;182;139;164;169;174;172;204;172;175;141;131;149;3569
"241420 Tibau do Sul";125;158;122;129;141;160;179;176;167;168;177;159;218;187;193;160;167;181;187;183;225;3562
"240010 Acari";1;227;237;238;193;209;194;196;181;159;161;170;152;160;170;142;147;163;149;140;147;3536
"241450 Umarizal";3;225;245;251;227;221;218;164;198;174;186;157;153;133;159;161;133;125;123;112;122;3490
"241290 São Tomé";11;176;293;249;238;149;169;183;214;165;170;183;135;122;138;155;132;119;103;133;140;3377
"240750 Maxaranguape";57;267;298;185;143;154;164;164;141;99;118;167;159;153;161;162;151;173;126;154;158;3354
"241030 Serra Caiada";24;156;158;165;142;108;147;165;221;209;193;186;170;186;162;181;147;168;147;162;151;3348
